######################################################################
#
# LoggerIdentifier    : 1858001C
# Comment             : 
# StartBatteryVoltage :      2953 mV
# EndBatteryVoltage   :      2933 mV
# TotalSampleCount    :    266826
# ResistanceOffset    :     11899.26821
# ResistanceScale     :     90961.56387
# TemperatureOffset   :         0.0009397284
# TemperatureLinear   :         0.0002205166
# TemperatureCubic    :         0.0000001287
#
######################################################################
yyyy mm dd HH MM SS      Raw     Res[Ohm]   Temp[degC]
2005 10 18 16 08 00    37975    55872.217       11.079
2005 10 18 16 08 01    38026    55964.502       11.043
2005 10 18 16 08 02    38076    56055.090       11.008
2005 10 18 16 08 03    38131    56154.866       10.970
2005 10 18 16 08 04    38192    56265.685       10.928
2005 10 18 16 08 05    38253    56376.671       10.885
2005 10 18 16 08 06    38315    56489.649       10.842
2005 10 18 16 08 07    38377    56602.799       10.799
2005 10 18 16 08 08    38436    56710.636       10.758
2005 10 18 16 08 09    38492    56813.136       10.719
2005 10 18 16 08 10    38547    56913.944       10.681
2005 10 18 16 08 11    38602    57014.889       10.643
2005 10 18 16 08 12    38657    57115.973       10.605
2005 10 18 16 08 13    38710    57213.511       10.568
2005 10 18 16 08 14    38762    57309.334       10.532
2005 10 18 16 08 15    38814    57405.281       10.497
2005 10 18 16 08 16    38866    57501.352       10.461
2005 10 18 16 08 17    38921    57603.102       10.423
2005 10 18 16 08 18    38976    57704.991       10.385
2005 10 18 16 08 19    39030    57805.163       10.348
2005 10 18 16 08 20    39081    57899.895       10.312
2005 10 18 16 08 21    39134    57998.469       10.276
2005 10 18 16 08 22    39185    58093.447       10.241
2005 10 18 16 08 23    39237    58190.411       10.205
2005 10 18 16 08 24    39291    58291.239       10.168
2005 10 18 16 08 25    39347    58395.946       10.129
2005 10 18 16 08 26    39407    58508.294       10.088
2005 10 18 16 08 27    39467    58620.812       10.047
2005 10 18 16 08 28    39528    58735.379       10.005
2005 10 18 16 08 29    39589    58850.121        9.964
2005 10 18 16 08 30    39646    58957.498        9.925
2005 10 18 16 08 31    39701    59061.254        9.887
2005 10 18 16 08 32    39756    59165.154        9.849
2005 10 18 16 08 33    39812    59271.090        9.811
2005 10 18 16 08 34    39870    59380.968        9.771
2005 10 18 16 08 35    39933    59500.500        9.728
